year,workstat,prestige,divorce,widowed,educ,reg16,babies,preteen,teens,income,region,attend,happy,owngun,tvhours,vhappy,mothfath16,black,gwbush04,female,blackfemale,gwbush00,occattend,regattend,y94,y96,y98,y00,y02,y04,y06,unem10
1994,keeping house,46,NA,iap,12,middle atlantic,2,3,0,$10000 - 14999,middle atlantic,sevrl times a yr,pretty happy,NA,2,0,1,1,NA,1,1,NA,1,0,1,0,0,0,0,0,0,1
1994,working fulltime,22,no,iap,12,foreign,0,0,0,NA,middle atlantic,every week,very happy,NA,3,1,0,1,NA,0,0,NA,0,0,1,0,0,0,0,0,0,0
1994,working fulltime,29,no,iap,12,foreign,0,0,0,$15000 - 19999,middle atlantic,more thn once wk,pretty happy,iap,1,0,0,1,NA,1,1,NA,0,1,1,0,0,0,0,0,0,NA
1994,working fulltime,42,yes,iap,8,foreign,0,0,0,$15000 - 19999,middle atlantic,once a year,not too happy,NA,3,0,0,0,NA,0,0,NA,0,0,1,0,0,0,0,0,0,1
1994,working parttime,36,NA,NA,13,middle atlantic,0,1,1,$10000 - 14999,middle atlantic,once a year,not too happy,iap,NA,0,0,1,NA,1,1,NA,0,0,1,0,0,0,0,0,0,0
1994,working parttime,43,NA,NA,15,middle atlantic,0,0,0,$25000 or more,middle atlantic,sevrl times a yr,pretty happy,iap,0,0,0,1,NA,1,1,NA,1,0,1,0,0,0,0,0,0,NA
1994,working fulltime,20,no,NA,9,middle atlantic,0,1,1,$20000 - 24999,middle atlantic,more thn once wk,not too happy,iap,10,0,1,0,NA,1,0,NA,0,1,1,0,0,0,0,0,0,NA
1994,working fulltime,44,NA,NA,12,foreign,0,0,0,$10000 - 14999,middle atlantic,more thn once wk,very happy,NA,4,1,1,1,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0
1994,working fulltime,42,no,NA,12,foreign,2,1,0,$25000 or more,middle atlantic,sevrl times a yr,pretty happy,iap,2,0,0,1,NA,1,1,NA,1,0,1,0,0,0,0,0,0,NA
1994,working fulltime,46,NA,iap,12,middle atlantic,0,0,1,$15000 - 19999,middle atlantic,more thn once wk,pretty happy,iap,NA,0,1,1,NA,1,1,NA,0,1,1,0,0,0,0,0,0,1
1994,working fulltime,30,NA,NA,0,foreign,0,0,0,NA,middle atlantic,sevrl times a yr,pretty happy,NA,2,0,0,0,NA,1,0,NA,1,0,1,0,0,0,0,0,0,1
1994,working fulltime,75,NA,NA,19,middle atlantic,0,0,0,$25000 or more,middle atlantic,once a year,pretty happy,NA,2,0,1,0,NA,1,0,NA,0,0,1,0,0,0,0,0,0,0
1994,working fulltime,51,no,iap,16,foreign,0,0,0,$25000 or more,middle atlantic,sevrl times a yr,very happy,NA,2,1,1,0,NA,0,0,NA,1,0,1,0,0,0,0,0,0,0
1994,working fulltime,50,no,iap,16,middle atlantic,0,0,0,$25000 or more,middle atlantic,every week,very happy,iap,NA,1,1,0,NA,0,0,NA,0,0,1,0,0,0,0,0,0,0
1994,working fulltime,73,NA,NA,18,south atlantic,0,0,0,$25000 or more,middle atlantic,once a month,pretty happy,iap,1,0,1,0,NA,0,0,NA,1,0,1,0,0,0,0,0,0,NA
1994,working fulltime,41,NA,NA,16,middle atlantic,0,0,0,$25000 or more,middle atlantic,once a year,pretty happy,iap,1,0,1,0,NA,1,0,NA,0,0,1,0,0,0,0,0,0,NA
1994,working fulltime,64,no,iap,18,middle atlantic,0,1,1,$25000 or more,middle atlantic,sevrl times a yr,pretty happy,NA,0,0,1,0,NA,1,0,NA,1,0,1,0,0,0,0,0,0,0
1994,keeping house,59,no,iap,16,e. nor. central,2,0,0,$25000 or more,middle atlantic,once a year,very happy,iap,3,1,0,0,NA,1,0,NA,0,0,1,0,0,0,0,0,0,NA
1994,retired,35,NA,NA,12,middle atlantic,0,0,0,NA,middle atlantic,sevrl times a yr,not too happy,yes,3,0,1,0,NA,0,0,NA,1,0,1,0,0,0,0,0,0,NA
1994,working parttime,46,no,iap,16,new england,0,0,0,$25000 or more,middle atlantic,never,pretty happy,iap,2,0,1,0,NA,0,0,NA,0,0,1,0,0,0,0,0,0,NA
